GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
demo,com.example.accessingdatamysql.serviceimpl,FriendListServiceImpl,29,3,0,0,6,1,6,1,6,1
demo,com.example.accessingdatamysql.serviceimpl,UserServiceImpl,40,213,3,3,6,34,3,12,0,12
demo,com.example.accessingdatamysql.serviceimpl,EnemyServiceImpl,52,3,0,0,7,1,7,1,7,1
demo,com.example.accessingdatamysql.serviceimpl,AdminServiceImpl,63,3,0,0,13,1,10,1,10,1
demo,com.example.accessingdatamysql.serviceimpl,MailServiceImpl,38,3,0,0,7,1,7,1,7,1
demo,com.example.accessingdatamysql.serviceimpl,CardServiceImpl,57,3,0,0,8,1,7,1,7,1
demo,com.example.accessingdatamysql.serviceimpl,MechanismServiceImpl,179,3,30,0,39,1,16,1,1,1
demo,com.example.accessingdatamysql.serviceimpl,ActivityServiceImpl,45,3,0,0,8,1,7,1,7,1
demo,com.example.accessingdatamysql.serviceimpl,ChatHistoryServiceImpl,32,3,0,0,6,1,6,1,6,1
demo,com.example.accessingdatamysql.serviceimpl,OwnItemServiceImpl,44,3,0,0,8,1,8,1,8,1
demo,com.example.accessingdatamysql.serviceimpl,OwnCardServiceImpl,58,3,0,0,10,1,10,1,10,1
demo,com.example.accessingdatamysql.serviceimpl,MissionServiceImpl,40,3,0,0,7,1,7,1,7,1
demo,com.example.accessingdatamysql.serviceimpl,MissionListServiceImpl,34,3,0,0,7,1,7,1,7,1
demo,com.example.accessingdatamysql.serviceimpl,BlackListServiceImpl,29,3,0,0,6,1,6,1,6,1
demo,com.example.accessingdatamysql.serviceimpl,MailBoxServiceImpl,29,3,0,0,6,1,6,1,6,1
demo,com.example.accessingdatamysql.serviceimpl,ChapterServiceImpl,49,3,0,0,9,1,8,1,8,1
demo,com.example.accessingdatamysql.serviceimpl,ItemServiceImpl,40,3,0,0,7,1,7,1,7,1
demo,com.example.accessingdatamysql.controller,ActivityController,42,3,0,0,7,1,7,1,7,1
demo,com.example.accessingdatamysql.controller,UserController,0,89,0,0,0,12,0,10,0,10
demo,com.example.accessingdatamysql.controller,MechanismController,7,3,0,0,1,1,1,1,1,1
demo,com.example.accessingdatamysql.controller,EnemyController,55,3,0,0,8,1,7,1,7,1
demo,com.example.accessingdatamysql.controller,OwnCardController,58,3,0,0,10,1,10,1,10,1
demo,com.example.accessingdatamysql.controller,AdminController,59,3,0,0,12,1,10,1,10,1
demo,com.example.accessingdatamysql.controller,MailController,38,3,0,0,7,1,7,1,7,1
demo,com.example.accessingdatamysql.controller,ItemController,40,3,0,0,7,1,7,1,7,1
demo,com.example.accessingdatamysql.controller,ChapterController,74,3,0,0,11,1,7,1,7,1
demo,com.example.accessingdatamysql.controller,CardController,57,3,0,0,8,1,7,1,7,1
demo,com.example.accessingdatamysql.controller,MissionController,40,3,0,0,7,1,7,1,7,1
demo,com.example.accessingdatamysql.controller,OwnItemController,42,3,0,0,8,1,7,1,7,1
demo,com.example.accessingdatamysql.Classes,Subject,47,0,4,0,7,0,5,0,2,0
demo,com.example.accessingdatamysql.entity,MailDetails,33,0,0,0,14,0,7,0,7,0
demo,com.example.accessingdatamysql.entity,ChapterEntityId,3,0,0,0,1,0,1,0,1,0
demo,com.example.accessingdatamysql.entity,Chapter,38,0,0,0,16,0,11,0,11,0
demo,com.example.accessingdatamysql.entity,ChapterDetails,31,0,0,0,13,0,9,0,9,0
demo,com.example.accessingdatamysql.entity,ChapterPhase,31,0,0,0,13,0,9,0,9,0
demo,com.example.accessingdatamysql.entity,Card,122,3,0,0,49,2,22,1,22,1
demo,com.example.accessingdatamysql.entity,Item,44,3,0,0,19,2,10,1,10,1
demo,com.example.accessingdatamysql.entity,ItemDetails,33,0,0,0,14,0,7,0,7,0
demo,com.example.accessingdatamysql.entity,MissionDetails,23,0,0,0,10,0,5,0,5,0
demo,com.example.accessingdatamysql.entity,ActivityDetails,43,0,0,0,18,0,9,0,9,0
demo,com.example.accessingdatamysql.entity,ChapterDetailsEntityId,3,0,0,0,1,0,1,0,1,0
demo,com.example.accessingdatamysql.entity,Enemy,109,3,0,0,44,2,20,1,20,1
demo,com.example.accessingdatamysql.entity,Admin,50,3,0,0,21,2,10,1,10,1
demo,com.example.accessingdatamysql.entity,ChapterPhaseEntityId,3,0,0,0,1,0,1,0,1,0
demo,com.example.accessingdatamysql.entity,Mail,27,3,0,0,12,2,7,1,7,1
demo,com.example.accessingdatamysql.entity,BlackList,20,0,0,0,9,0,5,0,5,0
demo,com.example.accessingdatamysql.entity,MailBox,20,0,0,0,9,0,5,0,5,0
demo,com.example.accessingdatamysql.entity,FriendList,20,0,0,0,9,0,5,0,5,0
demo,com.example.accessingdatamysql.entity,User,56,158,0,0,28,52,14,19,14,19
demo,com.example.accessingdatamysql.entity,EnemyDetails,43,0,0,0,18,0,9,0,9,0
demo,com.example.accessingdatamysql.entity,MissionList,20,0,0,0,9,0,5,0,5,0
demo,com.example.accessingdatamysql.entity,OwnCard,102,3,0,0,40,2,18,1,18,1
demo,com.example.accessingdatamysql.entity,Activity,44,3,0,0,19,2,10,1,10,1
demo,com.example.accessingdatamysql.entity,ChatHistory,30,0,0,0,13,0,7,0,7,0
demo,com.example.accessingdatamysql.entity,Mission,51,3,0,0,22,2,12,1,12,1
demo,com.example.accessingdatamysql.entity,OwnItem,63,3,0,0,26,2,12,1,12,1
demo,com.example.accessingdatamysql.entity,CardDetails,43,0,0,0,18,0,9,0,9,0
demo,com.example.accessingdatamysql,AccessingDataMysqlApplication,5,3,0,0,2,1,1,1,1,1
demo,com.example.accessingdatamysql.daoimpl,EnemyDaoImpl,201,3,6,0,43,1,10,1,7,1
demo,com.example.accessingdatamysql.daoimpl,OwnCardDaoImpl,194,3,12,0,44,1,16,1,10,1
demo,com.example.accessingdatamysql.daoimpl,UserDaoImpl,0,93,0,2,0,19,0,10,0,9
demo,com.example.accessingdatamysql.daoimpl,AdminDaoImpl,127,3,4,0,27,1,12,1,10,1
demo,com.example.accessingdatamysql.daoimpl,MailDaoImpl,189,3,6,0,40,1,10,1,7,1
demo,com.example.accessingdatamysql.daoimpl,ChapterDaoImpl,229,3,8,0,55,1,15,1,11,1
demo,com.example.accessingdatamysql.daoimpl,MissionListDaoImpl,79,3,2,0,18,1,8,1,7,1
demo,com.example.accessingdatamysql.daoimpl,ChatHistoryDaoImpl,101,3,8,0,22,1,10,1,6,1
demo,com.example.accessingdatamysql.daoimpl,ActivityDaoImpl,193,3,6,0,43,1,10,1,7,1
demo,com.example.accessingdatamysql.daoimpl,CardDaoImpl,205,3,6,0,40,1,10,1,7,1
demo,com.example.accessingdatamysql.daoimpl,BlackListDaoImpl,72,3,2,0,16,1,7,1,6,1
demo,com.example.accessingdatamysql.daoimpl,MailBoxDaoImpl,72,3,2,0,16,1,7,1,6,1
demo,com.example.accessingdatamysql.daoimpl,MissionDaoImpl,189,3,6,0,43,1,10,1,7,1
demo,com.example.accessingdatamysql.daoimpl,OwnItemDaoImpl,127,3,6,0,27,1,11,1,8,1
demo,com.example.accessingdatamysql.daoimpl,ItemDaoImpl,188,3,6,0,39,1,10,1,7,1
demo,com.example.accessingdatamysql.daoimpl,FriendListDaoImpl,72,3,2,0,16,1,7,1,6,1
